"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"MAX HEALTHCARE INSTITUTE LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_543220_08072026204839.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_543220_872026204839_BRSR_WebXMLFile_20260708_204852975.xml","08-Jul-2026","-"
"RPSG Ventures Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/RPSGVENT_08072026193848_BRSR_RVL_SE_signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_XBRL_BRSR_WebXMLFile_20260708_193906401.xml","08-Jul-2026","-"
"Visaka Industries Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_509055_08072026185057.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_509055_872026185057_BRSR_WebXMLFile_20260708_185113053.xml","08-Jul-2026","-"
"Afcons Infrastructure Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_544280_08072026182257.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_544280_872026182257_BRSR_WebXMLFile_20260708_182313078.xml","08-Jul-2026","-"
"Fiem Industries Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/FIEMIND_08072026180319_FIEMINDBRSRFY2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/FIEMBRSR06072026_XmL_BRSR_WebXMLFile_20260708_180334481.xml","08-Jul-2026","-"
"BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BHAGCHEM_08072026165518_seintimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR2025-26_BRSR_WebXMLFile_20260708_165715985.xml","08-Jul-2026","-"
"Advanced Enzyme Technologies Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_540025_08072026165524.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_540025_872026165524_BRSR_WebXMLFile_20260708_165536940.xml","08-Jul-2026","-"
"V2 Retail Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_532867_08072026165450.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_532867_872026165450_BRSR_WebXMLFile_20260708_165502645.xml","08-Jul-2026","-"
"GRAPHITE INDIA LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_509488_08072026163416.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_509488_872026163415_BRSR_WebXMLFile_20260708_163521484.xml","08-Jul-2026","-"
"Godrej Properties Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/GODREJPROP_08072026162902_SEIntimationBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_WebXMLFile_20260708_162931719.xml","08-Jul-2026","-"
